record_id,year,province_code,province,medical_health_institutions,hospitals,primary_healthcare_institutions,specialized_public_health_institutions,medical_health_beds,hospital_beds,primary_healthcare_beds,health_technicians,licensed_assistant_physicians,registered_nurses,permanent_population,beds_per_1000_people,physicians_per_1000_people,nurses_per_1000_people,institutions_per_10000_people,hospital_beds_share,primary_institution_share,source,update_date
CN-110000-2014,2014,110000,北京市,9638,608,8802,117,109800,102900,4500,213200,79900,88500,21710000,5.0576,3.6803,4.0765,4.4394,0.9372,0.9133,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2015,2015,110000,北京市,9771,631,8912,113,111600,104600,4400,225400,85200,94600,21880000,5.1005,3.894,4.3236,4.4657,0.9373,0.9121,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2016,2016,110000,北京市,9773,638,8908,112,117000,110100,4400,234000,89400,98100,21950000,5.3303,4.0729,4.4692,4.4524,0.941,0.9115,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2017,2017,110000,北京市,9976,656,9090,110,120600,113700,4400,246000,94400,103500,21940000,5.4968,4.3026,4.7174,4.5469,0.9428,0.9112,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2018,2018,110000,北京市,10058,648,9172,110,123600,116400,4800,255900,99800,107400,21920000,5.6387,4.5529,4.8996,4.5885,0.9417,0.9119,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2019,2019,110000,北京市,10336,664,9416,108,127800,120200,4900,271200,105900,114900,21900000,5.8356,4.8356,5.2466,4.7196,0.9405,0.911,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2020,2020,110000,北京市,10599,651,9675,105,127000,119200,5100,276100,107700,117900,21890000,5.8017,4.9201,5.386,4.8419,0.9386,0.9128,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2021,2021,110000,北京市,10699,644,9777,101,130300,122300,5200,289000,112500,124100,21890000,5.9525,5.1393,5.6693,4.8876,0.9386,0.9138,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2022,2022,110000,北京市,10897,662,9915,98,133900,126300,5200,295500,114800,126100,21840000,6.131,5.2564,5.7738,4.9895,0.9432,0.9099,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-110000-2023,2023,110000,北京市,11487,682,10505,93,138800,130800,5500,312800,121600,134600,21860000,6.3495,5.5627,6.1574,5.2548,0.9424,0.9145,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2014,2014,120000,天津市,4990,373,4419,145,60900,52400,7100,84900,33300,31600,14290000,4.2617,2.3303,2.2113,3.492,0.8604,0.8856,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2015,2015,120000,天津市,5223,402,4618,151,63700,55600,7000,90700,35900,33800,14390000,4.4267,2.4948,2.3489,3.6296,0.8728,0.8842,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2016,2016,120000,天津市,5443,421,4844,126,65800,57600,7100,95000,37800,36100,14430000,4.5599,2.6195,2.5017,3.772,0.8754,0.89,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2017,2017,120000,天津市,5539,426,4960,97,68400,60200,7300,101000,41100,38200,14100000,4.8511,2.9149,2.7092,3.9284,0.8801,0.8955,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2018,2018,120000,天津市,5686,420,5101,96,68200,60300,7000,104600,43100,39400,13830000,4.9313,3.1164,2.8489,4.1114,0.8842,0.8971,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
CN-120000-2019,2019,120000,天津市,5962,441,5348,95,68300,61000,6400,109800,46400,41400,13850000,4.9314,3.3502,2.9892,4.3047,0.8931,0.897,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsYearData,2026-07-12
