industry_type,category,total_product_count,distinct_product_count,earliest_approval_date,latest_approval_date
医疗器械,其他或未知,7,7,1976-11-09,2018-02-21
医疗器械,医学影像,7,7,1977-02-28,2019-12-20
医疗器械,医学检验与诊断,32,32,1977-08-10,2023-03-24
医疗器械,口腔医疗,12,12,1979-02-26,2021-02-05
医疗器械,外科与综合医疗,25,25,1979-05-29,2026-03-31
医疗器械,妇产科,4,4,1985-08-13,2024-05-21
医疗器械,心脑血管,26,26,1981-05-01,2026-02-13
医疗器械,消化与泌尿,11,11,1991-04-23,2021-05-04
医疗器械,眼耳鼻喉,11,11,1984-11-21,2018-10-12
医疗器械,骨科与康复,15,15,1981-05-21,2026-06-15
药品制造,其他药品制造,12,12,2000-04-24,2025-02-06
药品制造,原料药制造,16,16,1978-03-15,2023-06-20
药品制造,处方药制造,26,26,1971-03-03,2025-08-20
药品制造,获批仿制药,104,56,1964-09-15,2025-03-18
药品制造,获批新药,45,23,1950-05-11,2024-02-14
药品制造,获批生物制品,1,1,1976-02-23,1976-02-23
药品制造,非处方药制造,46,46,2010-06-01,2026-06-25
药品研发,一期临床,21,21,2009-05-14,2026-07-15
药品研发,三期临床,19,19,2014-12-03,2026-04-02
药品研发,二期临床,34,34,2001-05-18,2025-01-21
药品研发,四期临床,13,13,2017-06-01,2026-07-01
药品研发,未分期研发,13,13,2006-11-01,2026-09-01
