publish_month,content_type,category,article_total,source_count
2016-04,knowledge,职业健康与中毒控制,14,1
2016-07,knowledge,放射卫生,1,1
2016-08,knowledge,职业健康与中毒控制,2,1
2017-01,knowledge,公共卫生事件,1,1
2017-04,knowledge,职业健康与中毒控制,1,1
2018-02,knowledge,免疫规划,1,1
2018-04,knowledge,职业健康与中毒控制,1,1
2018-09,knowledge,职业健康与中毒控制,1,1
2019-11,knowledge,公共卫生事件,1,1
2020-04,knowledge,职业健康与中毒控制,2,1
2020-05,policy,政策文件,1,1
2020-07,policy,政策文件,2,1
2020-08,policy,政策文件,1,1
2020-09,policy,政策文件,1,1
2020-11,policy,政策文件,1,1
2020-12,policy,政策文件,2,1
2021-01,policy,政策文件,2,1
2021-02,policy,政策文件,2,1
2021-03,policy,政策文件,1,1
2021-04,knowledge,免疫规划,1,1
2021-04,knowledge,职业健康与中毒控制,3,1
2021-04,policy,政策文件,1,1
2021-05,knowledge,免疫规划,1,1
2021-05,policy,政策文件,2,1
2021-06,policy,政策文件,2,1
2021-07,policy,政策文件,1,1
2021-08,knowledge,放射卫生,1,1
2021-09,policy,政策文件,2,1
2021-11,policy,政策文件,1,1
2021-12,knowledge,烟草控制,1,1
2021-12,policy,政策文件,1,1
2022-01,news,中心要闻,6,1
2022-02,news,中心要闻,6,1
2022-02,policy,政策文件,3,1
2022-03,news,中心要闻,10,1
2022-03,policy,政策文件,1,1
2022-04,knowledge,免疫规划,1,1
2022-04,knowledge,职业健康与中毒控制,1,1
2022-04,news,中心要闻,1,1
2022-04,policy,政策文件,2,1
2022-05,policy,政策文件,1,1
2022-06,policy,政策文件,1,1
2022-08,policy,政策文件,1,1
2022-12,policy,政策文件,1,1
2023-02,knowledge,慢性非传染性疾病,1,1
2023-02,policy,政策文件,4,2
2023-03,knowledge,慢性非传染性疾病,2,1
2023-03,knowledge,营养与健康,2,1
2023-03,policy,政策文件,3,2
2023-04,knowledge,免疫规划,1,1
2023-04,knowledge,慢性非传染性疾病,1,1
2023-04,knowledge,烟草控制,1,1
2023-04,knowledge,职业健康与中毒控制,1,1
2023-04,knowledge,营养与健康,1,1
