content_id,content_type,title,category,publish_date,source,source_url,status
cdc_k_1835154,knowledge,国家疾控局综合司关于组织开展2026年全国儿童预防接种日宣传活动的通知,免疫规划,2026-04-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202604/t20260420_1835154.html,published
cdc_k_1835156,knowledge,2026年全国儿童预防接种日主题宣传海报发布,免疫规划,2026-04-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202604/t20260420_1835156.html,published
cdc_k_1835162,knowledge,谷雨“吃春” 这么吃才不亏,营养与健康,2026-04-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/swyy/202604/t20260420_1835162.html,published
cdc_k_1835346,knowledge,懂得求助，是一种能力（宣传图）,职业健康与中毒控制,2026-04-27,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/202604/t20260427_1835346.html,published
cdc_k_1835358,knowledge,春季过敏，别再错怪柳絮本身,环境健康,2026-04-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/kqzl/202604/t20260428_1835358.html,published
cdc_k_1835391,knowledge,【全国疟疾日科普】疟疾患者不献血！为什么要等3年这么久？,传染病,2026-04-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/ycr/202604/t20260428_1835391.html,published
cdc_k_1835393,knowledge,第24个全国《职业病防治法》宣传周,职业健康与中毒控制,2026-04-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zyjkxchd/202604/t20260428_1835393.html,published
cdc_k_1835401,knowledge,2026年全国疟疾宣传日--主动告知旅居史，筑牢输入性疟疾防控线,传染病,2026-04-29,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/ycr/202604/t20260429_1835401.html,published
cdc_k_1835457,knowledge,长期压力真的会“养”出癌细胞吗？,慢性非传染性疾病,2026-04-30,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/zlaz/202604/t20260430_1835457.html,published
cdc_k_1835463,knowledge,为什么一出疹子，反而更容易“传染”？,传染病,2026-04-30,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/qtcr/202604/t20260430_1835463.html,published
cdc_k_1835491,knowledge,懂得求助，是一种能力（视频）,职业健康与中毒控制,2026-04-30,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/202604/t20260430_1835491.html,published
cdc_k_1835687,knowledge,汉坦病毒是什么？传播途径有哪些？如何预防？,传染病,2026-05-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/qtcr/202605/t20260511_1835687.html,published
cdc_k_1835710,knowledge,春夏呼吸道疾病防护避坑指南,传染病,2026-05-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/qtcr/202605/t20260511_1835710.html,published
cdc_k_1835746,knowledge,天天都喝水，竟然没喝对？4个关键细节，很多人都做错了！,环境健康,2026-05-13,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/szljk/202605/t20260513_1835746.html,published
cdc_k_1836140,knowledge,2026年世界无烟日：青春无烟 未来无限,烟草控制,2026-05-29,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/ycwh/202605/t20260529_1836140.html,published
cdc_k_1836394,knowledge,按下戒烟键,烟草控制,2026-06-02,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/jygy/202606/t20260602_1836394.html,published
cdc_k_1836432,knowledge,世界无烟日｜远离烟草危害，守护健康成长,烟草控制,2026-06-02,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/ycwh/202606/t20260602_1836432.html,published
cdc_k_1836976,knowledge,出境游警惕疟疾“偷袭”！,传染病,2026-06-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/crb/ycr/202606/t20260618_1836976.html,published
