institution_id,institution_name,region,institution_type,institution_level,approved_beds,open_beds,clinical_departments,ct_available,mri_available,dsa_available,source,update_date
SC-HOSP-001,成都市第二人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-002,成都市第三人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-003,成都市第五人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-004,成都市第六人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-005,成都大学附属医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-006,核工业四一六医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-007,成飞医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-008,三六三医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-009,简阳市人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-010,四川天府新区人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-011,大邑县人民医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-012,邛崃市医疗中心医院,成都,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-013,自贡市第一人民医院,自贡,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-014,攀枝花市第二人民医院,攀枝花,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-015,泸州市人民医院,泸州,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-016,泸县人民医院,泸州,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-017,叙永县人民医院,泸州,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-018,德阳市第二人民医院,德阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-019,广汉市人民医院,德阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-020,什邡市人民医院,德阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-021,绵竹市人民医院,德阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-022,四川绵阳四〇四医院,绵阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-023,江油市第二人民医院,绵阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-024,绵阳市人民医院,绵阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-025,九〇三医院,绵阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-026,广元市第一人民医院,广元,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-027,广元市第二人民医院,广元,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
